Conversion_ID,Campaign_ID,Customer_ID,Conversion_Date,Conversion_Type,Revenue,Order_Value,Product_Category,Device_Type,Payment_Method,Conversion_Status,Is_New_Customer
CONV00024,CMP042,CUST01222,2025-06-21,Purchase,3190.97,3190.97,Fitness,Mobile,UPI,Completed,No
CONV00025,CMP103,CUST00832,2025-07-05,Purchase,138.00,138.00,Fashion,Mobile,UPI,Completed,No
CONV00026,CMP129,CUST02362,2025-09-19,Purchase,505.47,505.47,Books,Mobile,Debit Card,Completed,Yes
CONV00027,CMP195,CUST09394,2025-03-16,Purchase,3109.48,3109.48,Home & Kitchen,Mobile,UPI,Completed,Yes
CONV00028,CMP052,CUST07882,2025-04-20,Purchase,648.60,648.60,Beauty,Mobile,UPI,Completed,No
CONV00029,CMP096,CUST05040,2025-12-16,Purchase,1279.43,1279.43,Fashion,Mobile,UPI,Completed,Yes
CONV00030,CMP136,CUST05645,2025-04-26,Lead,0.00,0.00,Grocery,Mobile,Debit Card,Completed,No
CONV00031,CMP047,CUST05603,2025-11-23,Purchase,2190.87,2190.87,Home & Kitchen,Mobile,Wallet,Completed,No
CONV00032,CMP167,CUST00952,2025-11-12,Purchase,0.00,878.05,Personal Care,Desktop,Wallet,Cancelled,No
CONV00033,CMP111,CUST05514,2025-03-02,Purchase,35.09,1947.89,Fitness,Mobile,UPI,Refunded,Yes
CONV00034,CMP059,CUST01184,2025-11-27,Purchase,1126.08,1126.08,Home & Kitchen,Desktop,UPI,Completed,Yes
CONV00035,CMP072,CUST05846,2025-12-13,Purchase,964.33,964.33,Grocery,Mobile,Cash on Delivery,Completed,No
CONV00036,CMP100,CUST03823,2025-04-14,Purchase,1860.53,1860.53,Beauty,Mobile,Credit Card,Completed,No
CONV00037,CMP133,CUST05566,2025-01-08,Purchase,1460.32,1460.32,Beauty,Mobile,UPI,Completed,No
CONV00038,CMP032,CUST04633,2025-08-26,Purchase,817.63,817.63,Personal Care,Mobile,Debit Card,Completed,Yes
CONV00039,CMP113,CUST07845,2025-05-21,Subscription,581.22,581.22,Books,Mobile,Net Banking,Completed,No
CONV00040,CMP145,CUST09431,2025-01-14,Subscription,806.89,806.89,Books,Mobile,Cash on Delivery,Completed,No
CONV00041,CMP181,CUST07291,2025-01-14,Purchase,0.00,829.32,Personal Care,Mobile,UPI,Cancelled,No
CONV00042,CMP113,CUST08278,2025-05-19,Purchase,675.63,675.63,Grocery,Desktop,Credit Card,Completed,No
CONV00043,CMP165,CUST05503,2025-09-16,Purchase,1688.99,1688.99,Home & Kitchen,Mobile,UPI,Completed,No
CONV00044,CMP066,CUST02803,2025-06-07,Subscription,1793.24,1793.24,Beauty,Mobile,Debit Card,Completed,No
CONV00045,CMP067,CUST09341,2025-07-30,Lead,0.00,0.00,Grocery,Desktop,Credit Card,Completed,No
CONV00046,CMP024,CUST02811,2025-12-12,Purchase,760.16,760.16,Fashion,Mobile,Credit Card,Completed,Yes
CONV00047,CMP159,CUST07349,2025-03-22,App Signup,0.00,0.00,Fashion,Mobile,UPI,Completed,No
CONV00048,CMP167,CUST07396,2025-11-12,App Signup,250.00,250.00,Personal Care,Mobile,Debit Card,Completed,No
CONV00049,CMP179,CUST00029,2025-11-25,Purchase,9677.94,9677.94,Electronics,Mobile,Credit Card,Completed,No
CONV00050,CMP157,CUST04607,2025-01-26,Purchase,0.00,460.92,Books,Desktop,Wallet,Cancelled,No
CONV00051,CMP028,CUST04200,2025-04-11,Lead,500.00,500.00,Grocery,Mobile,Credit Card,Completed,No
CONV00052,CMP016,CUST09208,2025-04-14,Purchase,0.00,1409.41,Fashion,Desktop,Cash on Delivery,Pending,No
CONV00053,CMP115,CUST03951,2025-07-17,Purchase,706.05,706.05,Grocery,Mobile,Cash on Delivery,Completed,No
CONV00054,CMP191,CUST06645,2025-11-27,Purchase,1398.44,1398.44,Beauty,Desktop,Credit Card,Completed,No
CONV00055,CMP137,CUST07558,2025-05-22,Purchase,1.91,899.15,Beauty,Mobile,UPI,Refunded,Yes
CONV00056,CMP170,CUST01834,2025-02-20,Purchase,800.88,800.88,Beauty,Mobile,Debit Card,Completed,Yes
CONV00057,CMP024,CUST01395,2025-12-20,Purchase,509.83,509.83,Beauty,Mobile,UPI,Completed,Yes
CONV00058,CMP038,CUST00258,2025-02-12,Purchase,0.00,157.50,Fashion,Mobile,UPI,Cancelled,Yes
CONV00059,CMP179,CUST06218,2025-11-13,Purchase,1402.26,1402.26,Beauty,Mobile,Credit Card,Completed,No
CONV00060,CMP144,CUST09361,2025-12-21,Purchase,3315.88,3315.88,Home & Kitchen,Mobile,UPI,Completed,Yes
CONV00061,CMP046,CUST01012,2025-10-18,Purchase,3471.86,3471.86,Fashion,Mobile,UPI,Completed,Yes
CONV00062,CMP170,CUST09490,2025-02-20,Purchase,1435.08,1435.08,Beauty,Mobile,Cash on Delivery,Completed,No
CONV00063,CMP165,CUST05029,2025-09-16,Purchase,1166.05,1166.05,Grocery,Tablet,Credit Card,Completed,No
CONV00064,CMP140,CUST00373,2025-08-15,Purchase,3142.37,3142.37,Fashion,Mobile,UPI,Completed,Yes
CONV00065,CMP040,CUST09272,2025-04-06,Purchase,1888.38,1888.38,Beauty,Desktop,Credit Card,Completed,No
CONV00066,CMP172,CUST03144,2025-04-06,Purchase,1980.63,1980.63,Fashion,Mobile,Credit Card,Completed,No
CONV00067,CMP067,CUST04016,2025-07-30,Purchase,1851.67,1851.67,Fashion,Desktop,Net Banking,Completed,No
CONV00068,CMP180,CUST04452,2025-12-21,Purchase,746.62,746.62,Books,Desktop,UPI,Completed,Yes
CONV00069,CMP171,CUST03380,2025-03-11,Purchase,1904.29,1904.29,Beauty,Mobile,Credit Card,Completed,Yes
CONV00070,CMP068,CUST08820,2025-08-17,Purchase,857.66,857.66,Books,Mobile,Credit Card,Completed,No
CONV00071,CMP067,CUST02928,2025-07-13,Purchase,1611.36,1611.36,Beauty,Desktop,UPI,Completed,No
CONV00072,CMP101,CUST06455,2025-05-25,Purchase,585.86,585.86,Grocery,Mobile,Credit Card,Completed,No
CONV00073,CMP148,CUST05317,2025-04-25,Purchase,518.06,518.06,Personal Care,Mobile,Credit Card,Completed,Yes
CONV00074,CMP193,CUST02288,2025-01-16,Purchase,551.38,4303.15,Home & Kitchen,Mobile,Net Banking,Refunded,No
CONV00075,CMP034,CUST04452,2025-10-09,Purchase,558.36,558.36,Books,Mobile,Wallet,Completed,No
CONV00076,CMP126,CUST02162,2025-06-21,Purchase,2192.86,2192.86,Beauty,Desktop,UPI,Completed,No
CONV00077,CMP155,CUST05848,2025-11-10,Purchase,1319.78,1319.78,Home & Kitchen,Mobile,Debit Card,Completed,Yes
CONV00078,CMP006,CUST09865,2025-06-07,Purchase,875.39,875.39,Books,Mobile,Cash on Delivery,Completed,No
CONV00079,CMP078,CUST01627,2025-06-29,Purchase,1316.23,1316.23,Grocery,Desktop,Net Banking,Completed,No
CONV00080,CMP009,CUST04939,2025-09-14,Purchase,1232.07,1232.07,Beauty,Mobile,Credit Card,Completed,Yes
CONV00081,CMP166,CUST03469,2025-10-18,App Signup,500.00,500.00,Books,Mobile,UPI,Completed,No
CONV00082,CMP181,CUST04895,2025-01-24,Purchase,4649.51,4649.51,Home & Kitchen,Mobile,Credit Card,Completed,No
CONV00083,CMP108,CUST04504,2025-12-12,Purchase,1753.58,1753.58,Fashion,Mobile,UPI,Completed,No
CONV00084,CMP142,CUST06563,2025-10-06,Purchase,912.66,912.66,Grocery,Mobile,Net Banking,Completed,Yes
CONV00085,CMP078,CUST03946,2025-06-22,Purchase,1916.17,1916.17,Beauty,Mobile,Credit Card,Completed,No
CONV00086,CMP071,CUST00699,2025-11-08,Purchase,719.61,719.61,Personal Care,Mobile,UPI,Completed,No
CONV00087,CMP182,CUST08150,2025-02-27,Purchase,795.94,795.94,Grocery,Mobile,Credit Card,Completed,No
CONV00088,CMP137,CUST08071,2025-05-05,Subscription,2110.00,2110.00,Fashion,Mobile,UPI,Completed,No
CONV00089,CMP155,CUST08951,2025-11-07,Subscription,1308.69,1308.69,Personal Care,Mobile,UPI,Completed,Yes
CONV00090,CMP065,CUST07928,2025-05-31,Purchase,618.74,618.74,Personal Care,Mobile,UPI,Completed,Yes
CONV00091,CMP187,CUST06755,2025-07-04,Purchase,6029.65,6029.65,Electronics,Mobile,Cash on Delivery,Completed,Yes
CONV00092,CMP153,CUST00414,2025-09-12,Purchase,1513.19,1513.19,Fashion,Mobile,Net Banking,Completed,Yes
CONV00093,CMP017,CUST08291,2025-05-17,Purchase,274.72,274.72,Personal Care,Mobile,UPI,Completed,No
CONV00094,CMP157,CUST06237,2025-01-08,Purchase,975.59,975.59,Personal Care,Desktop,Wallet,Completed,Yes
CONV00095,CMP016,CUST07761,2025-04-12,Purchase,914.23,914.23,Grocery,Mobile,Cash on Delivery,Completed,No
CONV00096,CMP138,CUST07893,2025-06-02,Purchase,1634.25,1634.25,Beauty,Mobile,UPI,Completed,No
CONV00097,CMP107,CUST05152,2025-11-23,Purchase,1618.45,1618.45,Beauty,Mobile,Debit Card,Completed,Yes
CONV00098,CMP126,CUST08217,2025-06-17,Purchase,0.00,3343.67,Home & Kitchen,Mobile,Credit Card,Pending,No
CONV00099,CMP054,CUST00718,2025-06-21,Purchase,0.00,4584.63,Home & Kitchen,Tablet,Debit Card,Pending,No
CONV00100,CMP032,CUST02053,2025-08-12,Subscription,745.25,745.25,Grocery,Mobile,Cash on Delivery,Completed,No
CONV00101,CMP166,CUST04562,2025-10-17,Purchase,5516.19,5516.19,Electronics,Mobile,UPI,Completed,No
CONV00102,CMP105,CUST01421,2025-09-15,Purchase,2746.97,2746.97,Home & Kitchen,Desktop,UPI,Completed,No
CONV00103,CMP178,CUST01076,2025-10-24,App Signup,0.00,0.00,Books,Mobile,Cash on Delivery,Completed,No
CONV00104,CMP127,CUST03545,2025-07-12,Purchase,1249.02,1249.02,Fashion,Mobile,UPI,Completed,Yes
CONV00105,CMP079,CUST01880,2025-07-11,Lead,0.00,0.00,Electronics,Desktop,Debit Card,Completed,Yes
CONV00106,CMP040,CUST08167,2025-04-22,Purchase,2364.57,2364.57,Fashion,Mobile,Cash on Delivery,Completed,Yes
CONV00107,CMP038,CUST05661,2025-02-04,Subscription,1085.72,1085.72,Fashion,Mobile,UPI,Completed,No
CONV00108,CMP115,CUST04005,2025-07-14,Purchase,2079.93,2079.93,Fitness,Desktop,Wallet,Completed,Yes
CONV00109,CMP008,CUST00826,2025-08-17,Purchase,177.00,177.00,Grocery,Mobile,UPI,Completed,Yes
CONV00110,CMP113,CUST03304,2025-05-24,Purchase,147.30,147.30,Personal Care,Mobile,Credit Card,Completed,No
CONV00111,CMP020,CUST05492,2025-08-14,Purchase,4014.72,4014.72,Electronics,Mobile,Credit Card,Completed,No
CONV00112,CMP121,CUST07532,2025-01-06,Purchase,3065.86,3065.86,Home & Kitchen,Mobile,UPI,Completed,No
CONV00113,CMP022,CUST03824,2025-10-27,Purchase,0.00,4333.44,Electronics,Desktop,UPI,Cancelled,Yes
CONV00114,CMP165,CUST07461,2025-09-12,Purchase,1953.69,1953.69,Home & Kitchen,Mobile,Cash on Delivery,Completed,No
CONV00115,CMP162,CUST00865,2025-06-15,Purchase,2380.32,2380.32,Fashion,Mobile,UPI,Completed,No
CONV00116,CMP004,CUST00409,2025-04-19,Purchase,722.13,722.13,Books,Desktop,UPI,Completed,No
CONV00117,CMP111,CUST05771,2025-03-17,Purchase,1304.18,1304.18,Grocery,Desktop,UPI,Completed,No
CONV00118,CMP092,CUST00477,2025-08-11,Purchase,1196.17,1196.17,Grocery,Mobile,Credit Card,Completed,No
CONV00119,CMP032,CUST05290,2025-08-26,Purchase,339.30,339.30,Books,Mobile,Credit Card,Completed,No
CONV00120,CMP127,CUST08892,2025-07-26,Purchase,1574.85,1574.85,Beauty,Mobile,Net Banking,Completed,No
CONV00121,CMP100,CUST09821,2025-04-22,Purchase,1270.24,1270.24,Electronics,Mobile,Credit Card,Completed,No
CONV00122,CMP196,CUST04636,2025-04-23,Purchase,7203.18,7203.18,Electronics,Mobile,UPI,Completed,Yes
CONV00123,CMP046,CUST09629,2025-10-16,Purchase,3823.57,3823.57,Home & Kitchen,Mobile,Debit Card,Completed,No
CONV00124,CMP145,CUST07334,2025-01-21,Purchase,2012.66,2012.66,Fitness,Mobile,UPI,Completed,Yes
CONV00125,CMP131,CUST01347,2025-11-19,Purchase,0.00,1892.01,Fitness,Mobile,Credit Card,Cancelled,No
CONV00126,CMP015,CUST04608,2025-03-10,Purchase,0.00,3431.29,Fitness,Mobile,UPI,Pending,No
CONV00127,CMP193,CUST06117,2025-01-14,Lead,250.00,250.00,Electronics,Mobile,Debit Card,Completed,No
CONV00128,CMP008,CUST02030,2025-08-12,Purchase,694.97,694.97,Books,Desktop,Debit Card,Completed,Yes
CONV00129,CMP069,CUST06070,2025-09-22,Purchase,2999.81,2999.81,Fitness,Mobile,UPI,Completed,No
CONV00130,CMP149,CUST07598,2025-05-27,Purchase,427.45,427.45,Fitness,Mobile,UPI,Completed,No
CONV00131,CMP151,CUST02914,2025-07-12,Purchase,1373.86,1373.86,Beauty,Mobile,Credit Card,Completed,Yes
CONV00132,CMP082,CUST00655,2025-10-16,Purchase,1410.94,1410.94,Books,Mobile,Cash on Delivery,Completed,Yes
CONV00133,CMP103,CUST07376,2025-07-09,Purchase,0.00,1869.49,Home & Kitchen,Mobile,UPI,Cancelled,No
CONV00134,CMP005,CUST00150,2025-05-09,Lead,0.00,0.00,Fashion,Mobile,Credit Card,Completed,Yes
CONV00135,CMP070,CUST09149,2025-10-22,Purchase,3910.05,3910.05,Home & Kitchen,Mobile,Net Banking,Completed,No
CONV00136,CMP035,CUST02764,2025-11-18,Purchase,1845.52,1845.52,Beauty,Desktop,UPI,Completed,No
CONV00137,CMP130,CUST02211,2025-10-28,Purchase,589.64,589.64,Books,Mobile,UPI,Completed,Yes
CONV00138,CMP112,CUST02467,2025-04-06,Purchase,168.00,168.00,Grocery,Mobile,Credit Card,Completed,No
CONV00139,CMP133,CUST03685,2025-01-11,Purchase,647.52,647.52,Personal Care,Mobile,Net Banking,Completed,No
CONV00140,CMP010,CUST03701,2025-10-08,Lead,0.00,0.00,Home & Kitchen,Desktop,UPI,Completed,Yes
CONV00141,CMP144,CUST02222,2025-12-14,Purchase,1031.66,1031.66,Personal Care,Mobile,Debit Card,Completed,No
CONV00142,CMP083,CUST00941,2025-11-17,Purchase,855.27,855.27,Beauty,Mobile,Credit Card,Completed,No
CONV00143,CMP196,CUST09653,2025-04-24,Purchase,1422.17,1422.17,Personal Care,Mobile,Credit Card,Completed,Yes
CONV00144,CMP012,CUST02729,2025-12-12,Purchase,1255.03,1255.03,Beauty,Mobile,Net Banking,Completed,No
CONV00145,CMP102,CUST02561,2025-06-19,Purchase,157.50,157.50,Fitness,Mobile,Wallet,Completed,No
CONV00146,CMP040,CUST04477,2025-04-28,Purchase,616.71,616.71,Books,Mobile,UPI,Completed,No
CONV00147,CMP191,CUST08032,2025-11-28,Purchase,1481.25,1481.25,Beauty,Mobile,UPI,Completed,No
CONV00148,CMP016,CUST01264,2025-04-11,Subscription,956.69,956.69,Books,Desktop,Wallet,Completed,Yes
CONV00149,CMP118,CUST06898,2025-10-17,App Signup,0.00,0.00,Electronics,Mobile,Wallet,Completed,No
CONV00150,CMP185,CUST02924,2025-05-08,Purchase,1423.40,1423.40,Grocery,Mobile,Cash on Delivery,Completed,No
CONV00151,CMP152,CUST00620,2025-08-12,Purchase,3059.86,3059.86,Fitness,Mobile,UPI,Completed,Yes
CONV00152,CMP046,CUST08770,2025-10-29,Purchase,1055.98,1055.98,Personal Care,Mobile,UPI,Completed,No
CONV00153,CMP131,CUST06784,2025-11-18,Purchase,1392.72,1392.72,Fashion,Desktop,Cash on Delivery,Completed,No
CONV00154,CMP024,CUST06005,2025-12-25,Purchase,811.16,811.16,Grocery,Desktop,UPI,Completed,Yes
CONV00155,CMP030,CUST02163,2025-06-22,Purchase,517.47,517.47,Grocery,Desktop,Credit Card,Completed,No
CONV00156,CMP073,CUST02351,2025-01-17,Purchase,0.00,2299.59,Beauty,Mobile,UPI,Pending,No
CONV00157,CMP120,CUST01222,2025-12-01,Purchase,1306.97,1306.97,Personal Care,Mobile,UPI,Completed,No
CONV00158,CMP132,CUST01717,2025-12-22,Purchase,942.66,942.66,Grocery,Mobile,Debit Card,Completed,No
CONV00159,CMP018,CUST08411,2025-06-16,Purchase,1471.14,1471.14,Fashion,Mobile,Credit Card,Completed,Yes
CONV00160,CMP045,CUST06031,2025-09-20,Purchase,778.94,778.94,Books,Mobile,Wallet,Completed,Yes
CONV00161,CMP169,CUST06211,2025-01-25,Purchase,336.83,336.83,Fashion,Mobile,UPI,Completed,No
CONV00162,CMP125,CUST04806,2025-05-20,Lead,0.00,0.00,Books,Mobile,UPI,Completed,Yes
CONV00163,CMP183,CUST02906,2025-03-11,Purchase,157.50,157.50,Beauty,Mobile,UPI,Completed,No
CONV00164,CMP140,CUST05568,2025-08-27,Lead,0.00,0.00,Electronics,Mobile,UPI,Completed,No
CONV00165,CMP188,CUST06211,2025-08-12,Purchase,347.61,347.61,Personal Care,Mobile,UPI,Completed,No
CONV00166,CMP200,CUST01368,2025-08-19,Purchase,3821.70,3821.70,Fitness,Mobile,Cash on Delivery,Completed,No
CONV00167,CMP038,CUST07505,2025-02-19,Purchase,775.71,775.71,Beauty,Mobile,Wallet,Completed,No
CONV00168,CMP086,CUST03725,2025-02-21,Purchase,820.41,820.41,Personal Care,Mobile,Credit Card,Completed,Yes
CONV00169,CMP151,CUST09998,2025-07-22,Subscription,881.09,881.09,Beauty,Mobile,Net Banking,Completed,Yes
CONV00170,CMP064,CUST02590,2025-04-12,Purchase,1430.69,1430.69,Personal Care,Mobile,Net Banking,Completed,Yes
CONV00171,CMP043,CUST04835,2025-07-30,Purchase,803.12,803.12,Grocery,Mobile,Credit Card,Completed,Yes
CONV00172,CMP084,CUST07643,2025-12-23,App Signup,0.00,0.00,Fitness,Mobile,UPI,Completed,No
CONV00173,CMP168,CUST01439,2025-12-12,Purchase,481.74,481.74,Books,Mobile,UPI,Completed,No
CONV00174,CMP193,CUST06877,2025-01-15,Purchase,3901.24,3901.24,Home & Kitchen,Mobile,Debit Card,Completed,Yes
CONV00175,CMP040,CUST05791,2025-04-21,Purchase,1484.08,1484.08,Beauty,Mobile,UPI,Completed,No
CONV00176,CMP042,CUST09468,2025-06-13,Lead,0.00,0.00,Grocery,Mobile,Cash on Delivery,Completed,No
CONV00177,CMP186,CUST08174,2025-06-07,Purchase,1328.71,1328.71,Beauty,Mobile,UPI,Completed,No
CONV00178,CMP082,CUST09736,2025-10-28,Purchase,219.16,219.16,Fashion,Mobile,Net Banking,Completed,No
CONV00179,CMP076,CUST09707,2025-04-27,Purchase,417.23,417.23,Grocery,Mobile,Credit Card,Completed,No
CONV00180,CMP037,CUST04653,2025-01-20,Lead,250.00,250.00,Fitness,Mobile,UPI,Completed,Yes
CONV00181,CMP008,CUST01489,2025-08-20,Purchase,2053.64,2053.64,Fashion,Mobile,UPI,Completed,No
CONV00182,CMP176,CUST08809,2025-08-09,Purchase,1777.51,1777.51,Fitness,Mobile,Debit Card,Completed,No
CONV00183,CMP127,CUST07839,2025-07-23,Purchase,2788.32,2788.32,Fitness,Mobile,Credit Card,Completed,Yes
CONV00184,CMP100,CUST04410,2025-04-21,Lead,0.00,0.00,Grocery,Mobile,Credit Card,Completed,Yes
CONV00185,CMP147,CUST09247,2025-03-29,Purchase,2428.41,2428.41,Fitness,Desktop,UPI,Completed,Yes
CONV00186,CMP091,CUST04128,2025-07-30,Purchase,3731.47,3731.47,Electronics,Mobile,UPI,Completed,No
CONV00187,CMP057,CUST03806,2025-09-08,Purchase,2826.14,2826.14,Home & Kitchen,Mobile,Credit Card,Completed,No
CONV00188,CMP048,CUST04616,2025-12-19,Purchase,678.48,678.48,Books,Desktop,Cash on Delivery,Completed,Yes
CONV00189,CMP112,CUST05609,2025-04-15,App Signup,500.00,500.00,Books,Mobile,Cash on Delivery,Completed,No
CONV00190,CMP125,CUST08143,2025-05-13,Purchase,757.86,757.86,Books,Desktop,Credit Card,Completed,Yes
CONV00191,CMP039,CUST07065,2025-03-05,Purchase,1263.48,1263.48,Electronics,Mobile,UPI,Completed,Yes
CONV00192,CMP003,CUST06504,2025-03-08,Purchase,0.00,1071.99,Grocery,Desktop,Credit Card,Pending,Yes
CONV00193,CMP091,CUST01616,2025-07-29,App Signup,0.00,0.00,Beauty,Mobile,UPI,Completed,No
CONV00194,CMP183,CUST07451,2025-03-15,Purchase,659.83,659.83,Fitness,Mobile,UPI,Completed,No
CONV00195,CMP067,CUST01726,2025-07-20,Purchase,45.93,1153.84,Grocery,Mobile,Cash on Delivery,Refunded,Yes
CONV00196,CMP048,CUST04044,2025-12-13,Purchase,0.00,1028.62,Home & Kitchen,Mobile,Cash on Delivery,Pending,No
CONV00197,CMP045,CUST01651,2025-09-27,Purchase,2077.37,2077.37,Beauty,Mobile,Debit Card,Completed,No
CONV00198,CMP116,CUST01938,2025-08-26,Purchase,1818.58,1818.58,Fitness,Mobile,Cash on Delivery,Completed,Yes
CONV00199,CMP060,CUST00405,2025-12-01,Purchase,1531.12,1531.12,Fitness,Mobile,UPI,Completed,Yes
CONV00200,CMP115,CUST04450,2025-07-21,Purchase,2770.73,2770.73,Home & Kitchen,Desktop,Wallet,Completed,No
CONV00201,CMP079,CUST01952,2025-07-21,Purchase,6841.46,6841.46,Electronics,Mobile,Net Banking,Completed,No
CONV00202,CMP105,CUST00522,2025-09-13,Purchase,1163.29,1163.29,Grocery,Tablet,UPI,Completed,No
CONV00203,CMP043,CUST08355,2025-07-18,Purchase,1743.24,1743.24,Fashion,Mobile,UPI,Completed,No
CONV00204,CMP015,CUST01904,2025-03-20,Purchase,1142.44,1142.44,Books,Mobile,UPI,Completed,Yes
CONV00205,CMP124,CUST02819,2025-04-08,Purchase,2768.54,2768.54,Home & Kitchen,Mobile,UPI,Completed,No
CONV00206,CMP081,CUST06152,2025-09-17,Purchase,1034.55,1034.55,Personal Care,Mobile,Credit Card,Completed,No
CONV00207,CMP004,CUST04389,2025-04-11,Purchase,1719.67,1719.67,Home & Kitchen,Desktop,UPI,Completed,No
CONV00208,CMP028,CUST05626,2025-04-15,Purchase,1849.37,1849.37,Fashion,Mobile,Credit Card,Completed,No
CONV00209,CMP016,CUST03101,2025-04-08,Purchase,276.89,276.89,Grocery,Desktop,Cash on Delivery,Completed,No
CONV00210,CMP196,CUST00361,2025-04-16,Purchase,1873.92,1873.92,Beauty,Mobile,Credit Card,Completed,Yes
CONV00211,CMP108,CUST02244,2025-12-20,Purchase,2377.07,2377.07,Fitness,Mobile,Net Banking,Completed,No
CONV00212,CMP169,CUST00958,2025-01-27,Lead,0.00,0.00,Books,Mobile,Wallet,Pending,No
CONV00213,CMP077,CUST02718,2025-05-16,Purchase,838.56,838.56,Fashion,Desktop,UPI,Completed,No
CONV00214,CMP007,CUST07230,2025-07-14,Purchase,1379.15,1379.15,Fashion,Desktop,UPI,Completed,No
CONV00215,CMP067,CUST04061,2025-07-18,Purchase,3470.17,3470.17,Electronics,Mobile,Wallet,Completed,No
CONV00216,CMP134,CUST02018,2025-02-23,Purchase,1817.40,1817.40,Fashion,Mobile,Credit Card,Completed,Yes
CONV00217,CMP060,CUST09396,2025-12-17,Purchase,4612.50,4612.50,Electronics,Mobile,Credit Card,Completed,No
CONV00218,CMP025,CUST00834,2025-01-03,Subscription,846.82,846.82,Grocery,Desktop,UPI,Completed,No
CONV00219,CMP199,CUST09559,2025-07-03,Purchase,3183.87,3183.87,Home & Kitchen,Mobile,UPI,Completed,No
CONV00220,CMP045,CUST00767,2025-09-26,Purchase,2789.37,2789.37,Fashion,Mobile,Cash on Delivery,Completed,No
CONV00221,CMP166,CUST02126,2025-10-17,App Signup,0.00,0.00,Books,Mobile,UPI,Cancelled,No
CONV00222,CMP160,CUST06271,2025-04-28,Subscription,804.79,804.79,Books,Desktop,Wallet,Completed,Yes
CONV00223,CMP121,CUST05267,2025-01-08,Purchase,923.07,923.07,Grocery,Desktop,Cash on Delivery,Completed,No
CONV00224,CMP068,CUST05989,2025-08-20,Subscription,747.56,747.56,Beauty,Mobile,Net Banking,Completed,No
CONV00225,CMP018,CUST07729,2025-06-20,Purchase,2256.27,2256.27,Fashion,Mobile,UPI,Completed,No
CONV00226,CMP093,CUST06146,2025-09-30,Purchase,0.00,2413.34,Fitness,Desktop,Credit Card,Pending,No
CONV00227,CMP021,CUST04692,2025-09-04,Purchase,2004.23,2004.23,Beauty,Mobile,UPI,Completed,Yes
CONV00228,CMP011,CUST00995,2025-11-16,Purchase,956.15,956.15,Beauty,Mobile,UPI,Completed,Yes
